id,x,z,v,alpha,t_period,l1_r,l2_r,l3_r,l4_r,l5_r,l6_r,l1_im,l2_im,l3_im,l4_im,l5_im,l6_im,ax,ay,az,dist_primary,dist_secondary,dist_curve,cj,stable,stability_order
0,379803.4643046622,1243.2191951973136,-2.8041186294391562,-1.6627378236506682,9.020904395650556,-4.295345733667741,2.1481969982403206,-0.2327831289742518,0.4655988637307418,0.9999179284024045,1,0.0,0.0,0.0,0.0,0.0,0,21675.983809325204,29838.7888885218,107504.06522705221,378042.25885307265,1245.6018510365582,0.0,2.9563052662102898,False,0
1,379804.3824212742,1253.1769590972176,-2.7927916130354475,-1.6630049282430936,9.001939920710864,-4.382757401350559,2.177726017183675,-0.2281897425976585,0.45911471019764,1.0000736905719851,1,0.0,0.0,0.0,0.0,0.0,0,21631.995871976367,29850.49650376381,107186.91861028085,377993.5523798086,1255.5973636791055,2.6014568158096574e-05,2.9570300411790478,False,0
2,379805.7635964841,1268.1132355756336,-2.7760536003404033,-1.6633262782157066,8.974245900105362,-4.501415266314993,2.216338337009074,-0.2221723985348324,0.451122411742383,1.0000698971089426,1,0.0,0.0,0.0,0.0,0.0,0,21570.145669910882,29870.836077172706,106725.75261580439,377921.1190420216,1270.5906460789279,6.503642039535887e-05,2.958083518819865,False,0
3,379807.1495713948,1283.0490674422485,-2.7596106179210116,-1.6636487957489638,8.947418786695193,-4.607750360311197,2.248386105640885,-0.2170407906325536,0.4447071805766098,1.00005678506926,1,0.0,0.0,0.0,0.0,0.0,0,21512.968492640066,29894.454546495177,106281.19021664484,377849.4115352053,1285.583942720477,0.00010405827263269054,2.959098607270408,False,0
4,379808.54036330094,1297.9844515308366,-2.7434540162013814,-1.6639721409029646,8.92141844277822,-4.703267207323604,2.275058322487247,-0.2126241318701415,0.439526290279463,1.0000239505065778,1,0.0,0.0,0.0,0.0,0.0,0,21460.157819772954,29921.62890928317,105852.30639924678,377778.4060702707,1300.5772510696015,0.00014308012486993218,2.9600774861643027,False,0
5,379809.93598441844,1312.9193851328382,-2.727575501524119,-1.6642955459138975,8.896207283875373,-4.789223968377126,2.297287793744518,-0.2087933295259819,0.435330456199241,0.999962643135308,1,0.0,0.0,0.0,0.0,0.0,0,21411.432791145053,29952.98880932231,105438.24613404431,377708.0801719447,1315.5705688247426,0.0001821019771071681,2.961022165797972,False,0
6,379811.3364248016,1327.8538676057296,-2.711967121338697,-1.664617767013787,8.87175078850987,-4.866995729620674,2.31549385368044,-0.205456520560755,0.4319099261968483,0.9999592178602708,1,0.0,0.0,0.0,0.0,0.0,0,21366.539566688705,29986.993798813946,105038.2282353781,377638.4116087517,1330.5638944187847,0.00022112382934441654,2.9619344788862616,False,0
7,379812.7416773174,1342.7878980518974,-2.6966212396475426,-1.6649411732981756,8.84801618224485,-4.937576172472939,2.3301889801949565,-0.2025365017542118,0.4291165347074759,1.0000379788133331,1,0.0,0.0,0.0,0.0,0.0,0,21325.242463962582,30023.514905437223,104651.52276636446,377569.3799966832,1345.5572262626297,0.00026014568158168956,2.9628161347294784,False,0
8,379814.1517702121,1357.721472239867,-2.6815305140581196,-1.6652636967670476,8.82497118975575,-5.00122832893355,2.342409712705659,-0.1999579673895375,0.4268805305560479,1.0000354517489365,1,0.0,0.0,0.0,0.0,0.0,0,21287.316337080672,30062.41957373752,104277.43018481818,377500.9678992736,1360.5505617733443,0.00029916753381887515,2.9636687688839665,False,0
9,379815.5666794616,1372.654590863134,-2.6666879006824193,-1.665586768093911,8.802587325397552,-5.058938773922258,2.3522396384971525,-0.1976780316697161,0.4250912194423992,1.0000425297431088,1,0.0,0.0,0.0,0.0,0.0,0,21252.56371329876,30103.590871584038,103915.32703113115,377433.1562356442,1375.5438999925377,0.000338189386056216,2.964493835833239,False,0
10,379816.9864171334,1387.5872512069125,-2.6520866193544776,-1.6659068684427285,8.780836341115716,-5.111020351043713,2.3603109068694703,-0.1956493876044673,0.4237010780215485,0.999965725755903,1,0.0,0.0,0.0,0.0,0.0,0,21220.794454588147,30146.907365345243,103564.6119114662,377365.92869191134,1390.5372389344518,0.00037721123829340233,2.965292736866328,False,0
11,379818.41091995593,1402.5194577320483,-2.6377201635239564,-1.6662269678942672,8.759694080959955,-5.158654467651386,2.3662101241255,-0.1938522298846747,0.4226018968870829,1.0000184423069516,1,0.0,0.0,0.0,0.0,0.0,0,21191.845550127036,30192.26566008578,103224.75944118829,377299.26679766807,1405.5305789129736,0.00041623309053071477,2.966066693289891,False,0
12,379819.8402131889,1417.4512064861028,-2.6235822540021165,-1.6665472116917683,8.739134687804125,-5.201778157860774,2.370724709495457,-0.1922469563232837,0.421788449638283,1.000029684151024,1,0.0,0.0,0.0,0.0,0.0,0,21165.549893278396,30239.54726131572,102895.23481366021,377233.1566286313,1420.5239176361117,0.00045525494276797354,2.966816947944868,False,0
13,379821.2742881487,1432.38249675217,-2.6096668524650783,-1.6668640245723865,8.719134821937455,-5.240730325821305,2.374129055363833,-0.1908086864840166,0.4212282867760807,0.9999728175866424,1,0.0,0.0,0.0,0.0,0.0,0,21141.75807353604,30288.643264271886,102575.55339447818,377167.5835607577,1435.5172538784996,0.0004942767950052038,2.967544625042636,False,0
